language	member_id	form	pos	branch_gloss	layer	candidate	core_or_root_reading	support_root	classical_sources	licensed_rules	score	status
ancient_greek	kaikki_ancient_greek:2755:en-δημοτικός-grc-adj--PlMCTJX	δημοτικός	adj	of or for the people, common	nucleus	نك	الوصول إلى عمق الشيء بجد وتدقيق	نكث	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.124515	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:29889:en-δανάκη-grc-noun-RYSwYw36	δανάκη	noun	name of a Persian coin used as an obol offered to corpses	nucleus	دن	اندساس الشيء في أثناء أو ثباته فيه	دنر	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.124354	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:23435:en-διημείφθησαν-grc-verb-hIVNG46d	διημείφθησαν	verb	third-person plural aorist indicative passive of δῐᾰμείβω (dĭămeíbō)	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.123091	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:43413:en-διπλασιόομαι-grc-verb-FM8KAQT7	διπλασιόομαι	verb	to become twofold	nucleus	لن	لون2 لَوَّنَ i. q. ↓ تَلَوَّنَ It became coloured. (M.) b2: It (a palm-tree) had dates which had become coloured. (T.) b3: لَوَّنَ فِى الكَلَامِ [He varied in speech]. (Sgh, K, voce تَمَطَّطَ.) 5 تَلَوَّنَ It became coloured. (MA, KL.) See 1. b2: It became va…	لون	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.119523	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:7509:en-Διονυσοκόλακες-grc-name-28ecKRNc	Διονυσοκόλακες	name	nickname given to the τεχνῖται Διονυσιακοί (tekhnîtai Dionusiakoí, “thespians”)	nucleus	لق	الصدم أو الالتقاء بالشيء في الحيز بقوة	لقب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.114332	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:37033:en-δυσδιάλυτος-grc-adj-~mCbc8bT	δυσδιάλυτος	adj	hard to dissolve, hard to digest	nucleus	صل	التماسك الدقيق مع لطف ما في الأثناء	صلد	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.408248	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:11324:en-δρακοντία-grc-noun-Eaxri1kd	δρακοντία	noun	a plant within the family Araceae	nucleus	جن	الستر والكثافة	جنب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	GUT-03	0.353553	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:5595:en-διάρροια-grc-noun-ACh0QCZI	διάρροια	noun	flowing through, diarrhoea	nucleus	در	الجريان باسترسال، أو الامتداد بتوال	درج	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.333333	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:5595:en-διάρροια-grc-noun-ACh0QCZI	διάρροια	noun	flowing through, diarrhoea	nucleus	ضر	هو نوع من المزاحمة والدفع أو التضييق	ضرب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.333333	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:20708:en-Δίρφυς-grc-name-W~afOpKQ	Δίρφυς	name	Dirphe, a mountain in the central part of Euboea	nucleus	لس	قلة مفارقة المنشأ أو المقر	ليس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-01	0.316228	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:8077:en-διαρρέω-grc-verb-wikzIKjc	διαρρέω	verb	to flow (through), to run (of liquids)	nucleus	در	الجريان باسترسال، أو الامتداد بتوال	درج	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.288675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:8077:en-διαρρέω-grc-verb-wikzIKjc	διαρρέω	verb	to flow (through), to run (of liquids)	nucleus	ضر	هو نوع من المزاحمة والدفع أو التضييق	ضرب	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.288675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:22930:en-δασύμαλλος-grc-adj-vMQoQwmd	δασύμαλλος	adj	woolly, having a thick fleece	nucleus	ظل	الحجب	ظلم	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	DENT-07	0.250000	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:22358:en-δερμάτινος-grc-adj-mgrsV3CX	δερμάτινος	adj	leathern, made of leather	nucleus	تم	التميز الشيء مستقلا	يتم	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.235702	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:26483:en-Ἀδυρμαχίδαι-grc-noun-VmhXwmlE	Ἀδυρμαχίδαι	noun	Adyrmachidae, a Libyan people settled in Marmarica	nucleus	رض	تضخم الجرم مع رخاوة باطنه	رضع	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.223607	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:20645:en-δάφνινος-grc-adj-EIPLxpsM	δάφνινος	adj	made of bay	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.213201	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:11142:en-διαρροϊκός-grc-adj-b5RM6hbG	διαρροϊκός	adj	suffering from diarrhoea	nucleus	ضز	هو تضاغط الشيء أو انضغاطه بشدة واكتناز	ضوز	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	SIB-03	0.213201	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:25407:en-δυσθαλπής-grc-adj-AluMptVQ	δυσθαλπής	adj	hard to warm, chilly	nucleus	صل	التماسك الدقيق مع لطف ما في الأثناء	صلد	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.408248	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:26520:en-δαιτροσύνη-grc-noun-UBEYNzYn	δαιτροσύνη	noun	art of carving meat into portions	nucleus	لس	قلة مفارقة المنشأ أو المقر	ليس	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-01	0.353553	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:25407:en-δυσθαλπής-grc-adj-AluMptVQ	δυσθαλπής	adj	hard to warm, chilly	nucleus	بص	النفاذ والإدراك	بصر	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	ANCHOR	0.288675	REVIEW-CANDIDATE-NOT-VERDICT
ancient_greek	kaikki_ancient_greek:26520:en-δαιτροσύνη-grc-noun-UBEYNzYn	δαιτροσύνη	noun	art of carving meat into portions	nucleus	تم	التميز الشيء مستقلا	يتم	تاج العروس لمرتضى الزبيدي+لسان العرب لابن منظور	LIQ-02	0.204124	REVIEW-CANDIDATE-NOT-VERDICT
